id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,resolution_time_mins
FKID000001,unplanned,12.9218755,77.6451585,0.0,0.0,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",,vehicle_breakdown,False,2024-01-30 04:07:24.173+00,,resolved,yes,2024-01-30 04:17:46.828979+00,,,Starting problem,heavy_vehicle,FKN00GL0001,ORR East 1,High,,,,2024-01-30 04:08:22.954979+00:00,,1,FKUSR00002,FKUSR00001,,,,HSR Layout,,FKKG000001,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",12.9218755,77.6451585,,,FKUSR00002,2024-01-30 04:17:46.828355+00:00,,,,9.397889600000001
FKID000061,unplanned,12.9368467,77.6928653,0.0,0.0,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",,vehicle_breakdown,False,2024-01-30 23:05:02.339+00,,resolved,yes,2024-01-30 23:15:33.148666+00,,,Kadubisanahalli toward devarabisnahalli car starting problem,private_car,FKN00GL0023,ORR East 1,High,,,,2024-01-30 23:06:09.103789+00:00,,1,FKUSR00049,FKUSR00001,,,,HAL Old Airport,,FKKG000043,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.9368467,77.6928653,,,FKUSR00049,2024-01-30 23:15:33.148168+00:00,,,,9.40073965
FKID000217,unplanned,12.9541849,77.5435568,0.0,0.0,"Mysore Road, Bengaluru Body Builders Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",,vehicle_breakdown,False,2024-02-01 07:13:22.381+00,,resolved,yes,2024-02-01 08:19:36.191985+00,,,Bolt cut,bmtc_bus,FKN00GL0100,Mysore Road,High,,,,2024-02-01 07:14:06.614620+00:00,,1,FKUSR00168,FKUSR00001,,,,Byatarayanapura,,FKKG000162,"Mysore Road, Bengaluru Body Builders Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",12.9541849,77.5435568,,,FKUSR00169,2024-02-01 08:19:36.191479+00:00,,,,65.49294764999999
FKID000257,unplanned,12.8509801,77.6601903,0.0,0.0,"Hewlett Packard Avenue, Velankani Tech Park, Phase 1, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",,tree_fall,False,2024-03-08 08:01:56.993+00,,resolved,yes,2024-03-08 09:06:04.295889+00,,,ವಟೆರಾ ಜಂಕ್ಷನ್ ಹತ್ತಿರ ಮರ ಬಿದ್ದಿದ್ದು ಒಂದು ಲೈನ್ ನಲ್ಲಿ ವಾಹನಗಳ ಸಂಚಾರ ಇರುತ್ತದೆ ಸರ್,,,Non-corridor,Low,,,,2024-03-08 08:03:28.412934+00:00,,1,FKUSR00199,FKUSR00001,,,,Electronic City,,FKKG000191,"Hewlett Packard Avenue, Velankani Tech Park, Phase 1, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",12.8509801,77.6601903,,,FKUSR00199,2024-03-08 09:06:04.295189+00:00,,,,62.59803758333333
FKID000303,unplanned,12.9557117,77.6916217,0.0,0.0,"HAL Airport Road, Doddanekundi Circle, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",,vehicle_breakdown,False,2024-02-02 19:27:18.371+00,,resolved,yes,2024-02-02 19:54:46.656239+00,,,"Vehicle breakdown due to steering problem , slow movements from sd road to [PERSON] bridge.",truck,FKN00GL0140,Old Airport Road,High,Mixer,Steering problem,25.0,2024-02-02 19:29:49.994641+00:00,,1,FKUSR00232,FKUSR00001,,,,HAL Old Airport,,FKKG000224,"HAL Airport Road, Doddanekundi Circle, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9557117,77.6916217,,,FKUSR00232,2024-02-02 19:54:46.655664+00:00,,,,24.944350383333333
FKID000407,unplanned,12.9605694,77.5042779,0.0,0.0,"1st Cross Road, Kengunte Circle, Bengaluru, Karnataka. Pin-560056 (India)",,vehicle_breakdown,False,2024-02-04 05:37:12.522+00,,resolved,yes,2024-02-04 05:54:22.227211+00,,,Vehicle is breakdown due to diesel pipe cut.,bmtc_bus,FKN00GL0204,Non-corridor,Low,,,,2024-02-04 05:39:28.015661+00:00,,1,FKUSR00301,FKUSR00001,,,,Jnanabharathi,,FKKG000293,"1st Cross Road, Kengunte Circle, Bengaluru, Karnataka. Pin-560056 (India)",12.9605694,77.5042779,,,FKUSR00301,2024-02-04 05:54:22.226658+00:00,,,,14.903516616666668
FKID000590,unplanned,12.9567473,77.5342133,0.0,0.0,"Chord Road, RPC Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,vehicle_breakdown,False,2024-02-06 20:52:03.228+00,,resolved,yes,2024-02-06 22:34:40.444761+00,,,stairing problem,bmtc_bus,FKN00GL0285,Mysore Road,High,,,,2024-02-06 20:53:41.977606+00:00,,1,FKUSR00065,FKUSR00001,,,,Chamarajpet,,FKKG000059,"Chord Road, RPC Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",12.9567473,77.5342133,,,FKUSR00408,2024-02-06 22:34:40.444157+00:00,,,,100.97444251666667
FKID000745,unplanned,12.9757009,77.5572382,0.0,0.0,"G Narayana Kumar Road, Purva Sunflower, Shankarappa Garden, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",,vehicle_breakdown,False,2024-02-08 21:42:19.086+00,,resolved,no,2024-02-08 21:50:02.172496+00,,,,bmtc_bus,FKN00GL0368,Magadi Road,High,,,,2024-02-08 21:42:57.683632+00:00,,1,FKUSR00245,FKUSR00245,,,,Magadi Road,,FKKG000237,"G Narayana Kumar Road, Purva Sunflower, Shankarappa Garden, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",12.9757009,77.5572382,,,FKUSR00245,2024-02-08 21:50:02.171802+00:00,,,,7.074802833333334
FKID001063,unplanned,13.1841605,77.5665142,0.0,0.0,"Unnamed Road, Kempegowda Layout, Adiganahalli, Bengaluru, Karnataka. Pin-560064 (India)",,vehicle_breakdown,False,2024-02-13 06:02:31.092+00,,resolved,yes,2024-02-13 07:25:40.370602+00,,,[LOCATION] main road wheel and axel opp bmtc bus starting problem sir,bmtc_bus,FKN00GL0531,Non-corridor,Low,,,,2024-02-13 06:03:59.241285+00:00,,1,FKUSR00105,FKUSR00001,,,,Yelahanka,,FKKG000099,"Unnamed Road, Kempegowda Layout, Adiganahalli, Bengaluru, Karnataka. Pin-560064 (India)",13.1841605,77.5665142,,,FKUSR00639,2024-02-13 07:25:40.370033+00:00,,,,81.68547913333333
FKID001085,unplanned,13.084527,77.5502631,12.9869959,77.5723341,"1st Cross Road, Prosperhomes Bliss, Aditya Nagar, Chikkabettahalli, Bengaluru, Karnataka. Pin-560097 (India)","3rd Cross Road, RV Shetty Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",vehicle_breakdown,True,2024-02-13 06:53:20.224+00,,resolved,yes,2024-02-13 07:17:21.246167+00,,,,bmtc_bus,FKN00GL0545,Non-corridor,Low,,,,2024-02-13 06:54:05.235725+00:00,,1,FKUSR00647,FKUSR00001,,,,Sheshadripuram,,FKKG000632,"1st Cross Road, Prosperhomes Bliss, Aditya Nagar, Chikkabettahalli, Bengaluru, Karnataka. Pin-560097 (India)",13.084527,77.5502631,,,FKUSR00648,2024-02-13 07:17:21.245616+00:00,,,,23.266831516666667
FKID001257,unplanned,12.900384,77.5858132,0.0,0.0,"24th Main Road, Sri SN Venkatesh Reddy Circle, JP Nagar Phase 6, Bengaluru, Karnataka. Pin-560078 (India)",,vehicle_breakdown,False,2024-02-15 06:56:52.957+00,,resolved,no,2024-02-15 07:02:30.907381+00,,,Off-road,lcv,FKN00GL0634,Non-corridor,Low,,,,2024-02-15 06:57:52.148802+00:00,,1,FKUSR00721,FKUSR00721,,,,J.P. Nagar,,FKKG000705,"24th Main Road, Sri SN Venkatesh Reddy Circle, JP Nagar Phase 6, Bengaluru, Karnataka. Pin-560078 (India)",12.900384,77.5858132,,,FKUSR00721,2024-02-15 07:02:30.906901+00:00,,,,4.645968316666667
FKID001621,unplanned,13.00594,77.5930776,0.0,0.0,"Jayamahal Main Road, Munireddypalya, JC Nagar, Bengaluru, Karnataka. Pin-560006 (India)",,vehicle_breakdown,False,2024-02-20 02:16:45.55+00,,resolved,yes,2024-02-20 04:07:13.466177+00,,,bus gyare not working sir shivanna circle towards controment,bmtc_bus,FKN00GL0842,Non-corridor,Low,,,,2024-02-20 02:18:00.905280+00:00,,1,FKUSR00862,FKUSR00001,,,,R.T. Nagar,,FKKG000842,"Jayamahal Main Road, Munireddypalya, JC Nagar, Bengaluru, Karnataka. Pin-560006 (India)",13.00594,77.5930776,,,FKUSR00862,2024-02-20 04:07:13.465600+00:00,,,,109.20933866666665
FKID002096,unplanned,12.9433634,77.5778127,,,"Church Road, Madhav Rao Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",,accident,False,2024-02-27 21:07:10.87296+00,,resolved,yes,2024-02-27 21:50:50.466847+00,,,,,,Non-corridor,Low,,,,2024-02-27 21:19:44.659895+00:00,,1,FKUSR00995,FKUSR00001,FKUSR00995,FKUSR00996,,Basavanagudi,,,"Church Road, Madhav Rao Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",12.9433634,77.5778127,,,FKUSR00995,2024-02-27 21:50:50.466235+00:00,,,,31.096772333333334
FKID002240,unplanned,13.2572966,77.7126622,0.0,0.0,"Devanahalli Bypass, Sri Kanakadasa Circle, Devanahalli, Karnataka. Pin-562110 (India)",,vehicle_breakdown,False,2024-02-29 19:36:21.229+00,,resolved,yes,2024-02-29 20:17:47.646163+00,,,,heavy_vehicle,FKN00GL1209,Non-corridor,Low,,,,2024-02-29 19:37:21.444766+00:00,,1,FKUSR00385,FKUSR00001,,,,Devanahalli Airport,,FKKG000375,"Devanahalli Bypass, Sri Kanakadasa Circle, Devanahalli, Karnataka. Pin-562110 (India)",13.2572966,77.7126622,,,FKUSR00385,2024-02-29 20:17:47.645526+00:00,,,,40.43667933333334
